RECORDING_SESSION_LABEL;TRIAL_INDEX;CURRENT_FIX_DURATION;CURRENT_FIX_INDEX;CURRENT_FIX_INTEREST_AREAS;CURRENT_FIX_START;TRIAL_FIXATION_TOTAL;TRIAL_LABEL;VIDEO_NAME_END;VIDEO_NAME_START;video_clip;ROIfundo;ROIfrente
adam;13;172;4;[ 2];6754;10;Trial: 13;A3.avi;A3.avi;A3.avi;2;
adam;13;335;5;[ 2];6948;10;Trial: 13;A3.avi;A3.avi;A3.avi;2;
adam;13;172;6;[ 2];7297;10;Trial: 13;A3.avi;A3.avi;A3.avi;2;
adam;13;268;7;[ ];7578;10;Trial: 13;A3.avi;A3.avi;A3.avi;;
adam;13;866;8;[ 4];7870;10;Trial: 13;A3.avi;A3.avi;A3.avi;4;
adam;13;158;9;[ ];10857;10;Trial: 13;A3.avi;A3.avi;A3.avi;;
adam;13;38;10;[ ];11049;10;Trial: 13;A3.avi;A3.avi;A3.avi;;
adam;14;1;1;[ ];26;29;Trial: 14;.;.;A4.avi;;
adam;14;24;2;[ ];630;29;Trial: 14;EstrelinhasR640x680.avi;EstrelinhasR640x680.avi;A4.avi;;
adam;14;279;3;[ ];674;29;Trial: 14;EstrelinhasR640x680.avi;EstrelinhasR640x680.avi;A4.avi;;
adam;14;393;4;[ ];1448;29;Trial: 14;EstrelinhasR640x680.avi;EstrelinhasR640x680.avi;A4.avi;;
adam;14;680;5;[ ];1861;29;Trial: 14;EstrelinhasR640x680.avi;EstrelinhasR640x680.avi;A4.avi;;
adam;14;39;6;[ ];2565;29;Trial: 14;EstrelinhasR640x680.avi;EstrelinhasR640x680.avi;A4.avi;;
adam;14;40;7;[ ];4346;29;Trial: 14;EstrelinhasR640x680.avi;EstrelinhasR640x680.avi;A4.avi;;
adam;14;38;8;[ ];4729;29;Trial: 14;EstrelinhasR640x680.avi;EstrelinhasR640x680.avi;A4.avi;;
adam;14;24;9;[ ];5695;29;Trial: 14;A4.avi;A4.avi;A4.avi;;
adam;14;113;10;[ ];6107;29;Trial: 14;A4.avi;A4.avi;A4.avi;;
adam;14;129;11;[ ];6371;29;Trial: 14;A4.avi;A4.avi;A4.avi;;
adam;14;24;12;[ ];6649;29;Trial: 14;A4.avi;A4.avi;A4.avi;;
adam;14;31;13;[ ];6939;29;Trial: 14;A4.avi;A4.avi;A4.avi;;
adam;14;36;14;[ ];7056;29;Trial: 14;A4.avi;A4.avi;A4.avi;;
adam;14;32;15;[ ];7188;29;Trial: 14;A4.avi;A4.avi;A4.avi;;
adam;14;68;16;[ ];7694;29;Trial: 14;A4.avi;A4.avi;A4.avi;;
adam;14;70;17;[ ];7784;29;Trial: 14;A4.avi;A4.avi;A4.avi;;
adam;14;34;18;[ ];7958;29;Trial: 14;A4.avi;A4.avi;A4.avi;;
adam;14;460;19;[ ];8174;29;Trial: 14;A4.avi;A4.avi;A4.avi;;
adam;14;216;20;[ ];8713;29;Trial: 14;A4.avi;A4.avi;A4.avi;;
adam;14;48;21;[ ];8984;29;Trial: 14;A4.avi;A4.avi;A4.avi;;
adam;14;152;22;[ ];9049;29;Trial: 14;A4.avi;A4.avi;A4.avi;;
adam;14;121;23;[ ];9419;29;Trial: 14;A4.avi;A4.avi;A4.avi;;
adam;14;446;24;[ ];9549;29;Trial: 14;A4.avi;A4.avi;A4.avi;;
adam;14;102;25;[ ];10005;29;Trial: 14;A4.avi;A4.avi;A4.avi;;
adam;14;67;26;[ ];10128;29;Trial: 14;A4.avi;A4.avi;A4.avi;;
adam;14;35;27;[ ];10492;29;Trial: 14;A4.avi;A4.avi;A4.avi;;
adam;14;250;28;[ ];10580;29;Trial: 14;A4.avi;A4.avi;A4.avi;;
adam;14;84;29;[ ];10847;29;Trial: 14;A4.avi;A4.avi;A4.avi;;
adam;15;152;1;[ ];9;18;Trial: 15;EstrelinhasR640x680.avi;.;A6.avi;;
adam;15;345;2;[ ];183;18;Trial: 15;EstrelinhasR640x680.avi;EstrelinhasR640x680.avi;A6.avi;;
adam;15;2696;3;[ ];589;18;Trial: 15;EstrelinhasR640x680.avi;EstrelinhasR640x680.avi;A6.avi;;
adam;15;30;4;[ ];3306;18;Trial: 15;EstrelinhasR640x680.avi;EstrelinhasR640x680.avi;A6.avi;;
adam;15;25;5;[ ];3453;18;Trial: 15;EstrelinhasR640x680.avi;EstrelinhasR640x680.avi;A6.avi;;
adam;15;1026;6;[ ];3499;18;Trial: 15;EstrelinhasR640x680.avi;EstrelinhasR640x680.avi;A6.avi;;
adam;15;39;7;[ ];4629;18;Trial: 15;EstrelinhasR640x680.avi;EstrelinhasR640x680.avi;A6.avi;;
adam;15;135;8;[ ];5395;18;Trial: 15;A6.avi;A6.avi;A6.avi;;
adam;15;129;9;[ ];5579;18;Trial: 15;A6.avi;A6.avi;A6.avi;;
adam;15;24;10;[ ];5732;18;Trial: 15;A6.avi;A6.avi;A6.avi;;
adam;15;226;11;[ ];6986;18;Trial: 15;A6.avi;A6.avi;A6.avi;;
adam;15;187;12;[ ];7223;18;Trial: 15;A6.avi;A6.avi;A6.avi;;
adam;15;518;13;[ ];7423;18;Trial: 15;A6.avi;A6.avi;A6.avi;;
adam;15;1765;14;[ ];7955;18;Trial: 15;A6.avi;A6.avi;A6.avi;;
adam;15;634;15;[ ];9737;18;Trial: 15;A6.avi;A6.avi;A6.avi;;
adam;15;236;16;[ ];10410;18;Trial: 15;A6.avi;A6.avi;A6.avi;;
adam;15;108;17;[ ];10703;18;Trial: 15;A6.avi;A6.avi;A6.avi;;
adam;15;242;18;[ ];10834;18;Trial: 15;A6.avi;A6.avi;A6.avi;;
agatha;1;58;1;[ 4];0;1;Trial: 1;.;.;B1.avi;4;
ana;1;138;1;[ 4];1402;8;Trial: 1;EstrelinhasR640x680.avi;EstrelinhasR640x680.avi;B1.avi;3;7
ana;1;2194;2;[ 3];1564;8;Trial: 1;B1.avi;EstrelinhasR640x680.avi;B1.avi;3;7
ana;1;1482;3;[ 3];3782;8;Trial: 1;B1.avi;B1.avi;B1.avi;3;7
ana;1;1406;4;[ 3];5284;8;Trial: 1;B1.avi;B1.avi;B1.avi;3;7
ana;1;404;5;[ 3];6710;8;Trial: 1;B1.avi;B1.avi;B1.avi;3;7
ana;1;248;6;[ 4];7136;8;Trial: 1;B1.avi;B1.avi;B1.avi;3;7
ana;1;274;7;[ 3];7408;8;Trial: 1;B1.avi;B1.avi;B1.avi;3;7
ana;1;236;8;[ 3];7698;8;Trial: 1;B1.avi;B1.avi;B1.avi;3;7
ana;2;76;1;[ 4];10;7;Trial: 2;.;.;B2.avi;4;9
ana;2;248;2;[ 4];286;7;Trial: 2;EstrelinhasR640x680.avi;EstrelinhasR640x680.avi;B2.avi;4;9
ana;2;708;3;[ 3];562;7;Trial: 2;B2.avi;EstrelinhasR640x680.avi;B2.avi;3;
ana;2;1576;4;[ 3];1298;7;Trial: 2;B2.avi;B2.avi;B2.avi;3;
ana;2;2086;5;[ 3];2892;7;Trial: 2;B2.avi;B2.avi;B2.avi;3;
ana;2;1572;6;[ 3];5002;7;Trial: 2;B2.avi;B2.avi;B2.avi;3;
ana;2;374;7;[ 6];6626;7;Trial: 2;B2.avi;B2.avi;B2.avi;6;10
ana;3;88;1;[ 3];10;11;Trial: 3;EstrelinhasR640x680.avi;.;B5.avi;3;
ana;3;200;2;[ 4];332;11;Trial: 3;EstrelinhasR640x680.avi;EstrelinhasR640x680.avi;B5.avi;4;7
ana;3;346;3;[ 4];558;11;Trial: 3;EstrelinhasR640x680.avi;EstrelinhasR640x680.avi;B5.avi;3;
ana;3;326;4;[ 3];920;11;Trial: 3;B5.avi;EstrelinhasR640x680.avi;B5.avi;3;
ana;3;2398;5;[ 3];1270;11;Trial: 3;B5.avi;B5.avi;B5.avi;3;
ana;3;388;6;[ 3];3690;11;Trial: 3;B5.avi;B5.avi;B5.avi;3;
ana;3;302;7;[ 3];4098;11;Trial: 3;B5.avi;B5.avi;B5.avi;3;
ana;3;1816;8;[ 3];4416;11;Trial: 3;B5.avi;B5.avi;B5.avi;3;
ana;3;350;9;[ 4];6282;11;Trial: 3;B5.avi;B5.avi;B5.avi;4;7
ana;3;226;10;[ 3];6684;11;Trial: 3;B5.avi;B5.avi;B5.avi;3;
ana;3;52;11;[ 3];6928;11;Trial: 3;B5.avi;B5.avi;B5.avi;3;
ana;4;60;1;[ 4];12;13;Trial: 4;.;.;B6.avi;4;7
ana;4;416;2;[ 3];316;13;Trial: 4;B6.avi;EstrelinhasR640x680.avi;B6.avi;3;
ana;4;238;3;[ 3];750;13;Trial: 4;B6.avi;B6.avi;B6.avi;3;
ana;4;750;4;[ 3];1014;13;Trial: 4;B6.avi;B6.avi;B6.avi;3;
ana;4;296;5;[ 3];1786;13;Trial: 4;B6.avi;B6.avi;B6.avi;3;
ana;4;268;6;[ 3];2412;13;Trial: 4;B6.avi;B6.avi;B6.avi;3;
ana;4;1126;7;[ 3];2704;13;Trial: 4;B6.avi;B6.avi;B6.avi;3;
ana;4;532;8;[ 3];3854;13;Trial: 4;B6.avi;B6.avi;B6.avi;3;
ana;4;422;9;[ 3];4406;13;Trial: 4;B6.avi;B6.avi;B6.avi;3;
ana;4;376;10;[ 3];4848;13;Trial: 4;B6.avi;B6.avi;B6.avi;3;
ana;4;418;11;[ 3];5244;13;Trial: 4;B6.avi;B6.avi;B6.avi;3;
ana;4;778;12;[ 3];5686;13;Trial: 4;B6.avi;B6.avi;B6.avi;3;
ana;4;190;13;[ 3];6492;13;Trial: 4;B6.avi;B6.avi;B6.avi;3;
ana;5;130;1;[ 4];10;8;Trial: 5;EstrelinhasR640x680.avi;.;B7.avi;4;
ana;5;178;2;[ 4];418;8;Trial: 5;EstrelinhasR640x680.avi;EstrelinhasR640x680.avi;B7.avi;4;7
ana;5;646;3;[ 4];620;8;Trial: 5;B7.avi;EstrelinhasR640x680.avi;B7.avi;3;
ana;5;702;4;[ 3];1292;8;Trial: 5;B7.avi;B7.avi;B7.avi;3;
ana;5;86;5;[ 3];2010;8;Trial: 5;B7.avi;B7.avi;B7.avi;3;
ana;5;1246;6;[ 3];3946;8;Trial: 5;B7.avi;B7.avi;B7.avi;3;
ana;5;434;7;[ 3];5210;8;Trial: 5;B7.avi;B7.avi;B7.avi;3;
ana;5;1312;8;[ 3];5664;8;Trial: 5;B7.avi;B7.avi;B7.avi;3;
ana;6;242;1;[ 3];136;4;Trial: 6;EstrelinhasR640x680.avi;EstrelinhasR640x680.avi;D1.avi;3;
ana;6;1196;2;[ 4];418;4;Trial: 6;D1.avi;EstrelinhasR640x680.avi;D1.avi;3;7
ana;6;2244;3;[ 3];1974;4;Trial: 6;D1.avi;D1.avi;D1.avi;3;7
ana;6;238;4;[ 4];4236;4;Trial: 6;D1.avi;D1.avi;D1.avi;3;7
ana;7;536;1;[ 3];6052;2;Trial: 7;D2.avi;D2.avi;D2.avi;3;
ana;7;66;2;[ 3];9430;2;Trial: 7;D2.avi;D2.avi;D2.avi;3;
ana;8;710;1;[ 3];914;2;Trial: 8;D4.avi;EstrelinhasR640x680.avi;D4.avi;3;
ana;8;410;2;[ 3];1648;2;Trial: 8;D4.avi;D4.avi;D4.avi;3;
ana;9;192;1;[ 4];4748;5;Trial: 9;EstrelinhasR640x680.avi;EstrelinhasR640x680.avi;D5.avi;3;
ana;9;22;2;[ 4];4958;5;Trial: 9;EstrelinhasR640x680.avi;EstrelinhasR640x680.avi;D5.avi;3;
ana;9;332;3;[ 4];5158;5;Trial: 9;D5.avi;D5.avi;D5.avi;3;
ana;9;232;4;[ 3];5514;5;Trial: 9;D5.avi;D5.avi;D5.avi;3;
ana;9;108;5;[ 3];6040;5;Trial: 9;D5.avi;D5.avi;D5.avi;3;
ana;10;728;1;[ 4];904;6;Trial: 10;D7.avi;EstrelinhasR640x680.avi;D7.avi;3;
ana;10;42;2;[ 3];4472;6;Trial: 10;D7.avi;D7.avi;D7.avi;3;
ana;10;296;3;[ 3];5166;6;Trial: 10;D7.avi;D7.avi;D7.avi;3;
ana;10;208;4;[ 3];5874;6;Trial: 10;D7.avi;D7.avi;D7.avi;3;
ana;10;736;5;[ 3];6102;6;Trial: 10;D7.avi;D7.avi;D7.avi;3;
ana;10;58;6;[ 3];7210;6;Trial: 10;D7.avi;D7.avi;D7.avi;3;
ana;11;220;1;[ 4];272;4;Trial: 11;EstrelinhasR640x680.avi;EstrelinhasR640x680.avi;A1.avi;4;
ana;11;466;2;[ 4];514;4;Trial: 11;A1.avi;EstrelinhasR640x680.avi;A1.avi;4;
ana;11;118;3;[ 3];5450;4;Trial: 11;A1.avi;A1.avi;A1.avi;3;
ana;11;946;4;[ 3];5924;4;Trial: 11;A1.avi;A1.avi;A1.avi;3;
ana;12;242;1;[ 3];372;5;Trial: 12;EstrelinhasR640x680.avi;EstrelinhasR640x680.avi;A2.avi;3;
ana;12;646;2;[ 4];638;5;Trial: 12;A2.avi;EstrelinhasR640x680.avi;A2.avi;3;
ana;12;300;3;[ 3];1310;5;Trial: 12;A2.avi;A2.avi;A2.avi;3;
ana;12;290;4;[ 3];2192;5;Trial: 12;A2.avi;A2.avi;A2.avi;3;
ana;12;22;5;[ 3];2518;5;Trial: 12;A2.avi;A2.avi;A2.avi;3;
ana;13;642;1;[ 4];4134;2;Trial: 13;A3.avi;EstrelinhasR640x680.avi;A3.avi;4;
ana;13;360;2;[ 4];4804;2;Trial: 13;A3.avi;A3.avi;A3.avi;3;
ana;14;144;1;[ 4];10;11;Trial: 14;EstrelinhasR640x680.avi;.;A4.avi;4;9
ana;14;648;2;[ 4];388;11;Trial: 14;A4.avi;EstrelinhasR640x680.avi;A4.avi;3;
ana;14;384;3;[ 3];1062;11;Trial: 14;A4.avi;A4.avi;A4.avi;3;
ana;14;374;4;[ 3];1870;11;Trial: 14;A4.avi;A4.avi;A4.avi;3;
ana;14;420;5;[ 3];2266;11;Trial: 14;A4.avi;A4.avi;A4.avi;3;
ana;14;396;6;[ 3];2708;11;Trial: 14;A4.avi;A4.avi;A4.avi;3;
ana;14;230;7;[ 3];3806;11;Trial: 14;A4.avi;A4.avi;A4.avi;3;
ana;14;50;8;[ 3];4226;11;Trial: 14;A4.avi;A4.avi;A4.avi;3;
ana;14;48;9;[ 3];5344;11;Trial: 14;A4.avi;A4.avi;A4.avi;3;
ana;14;94;10;[ 3];5430;11;Trial: 14;A4.avi;A4.avi;A4.avi;3;
ana;14;272;11;[ 3];6382;11;Trial: 14;A4.avi;A4.avi;A4.avi;3;
ana;15;104;1;[ 3];14;9;Trial: 15;EstrelinhasR640x680.avi;.;A6.avi;3;
ana;15;170;2;[ 4];164;9;Trial: 15;EstrelinhasR640x680.avi;EstrelinhasR640x680.avi;A6.avi;4;
ana;15;656;3;[ 4];616;9;Trial: 15;A6.avi;EstrelinhasR640x680.avi;A6.avi;3;
ana;15;298;4;[ 4];1296;9;Trial: 15;A6.avi;A6.avi;A6.avi;3;
ana;15;480;5;[ 4];1926;9;Trial: 15;A6.avi;A6.avi;A6.avi;3;
ana;15;182;6;[ 3];4992;9;Trial: 15;A6.avi;A6.avi;A6.avi;3;
ana;15;508;7;[ 3];5288;9;Trial: 15;A6.avi;A6.avi;A6.avi;3;
ana;15;146;8;[ 3];6046;9;Trial: 15;A6.avi;A6.avi;A6.avi;3;
ana;15;786;9;[ 3];6214;9;Trial: 15;A6.avi;A6.avi;A6.avi;3;
andre2t;1;928;1;[ 5];554;6;Trial: 1;B1.avi;EstrelinhasR640x680.avi;B1.avi;5;
andre2t;1;207;2;[ 5];2066;6;Trial: 1;B1.avi;B1.avi;B1.avi;5;
