"","crianca","video","frente","fundo","errado"
"495","livia.2","A6",0,1,1
"496","livia.2","B1",0,1,1
"497","livia.2","B2",0,1,1
"498","livia.2","B5",1,1,1
"499","livia.2","B6",0,1,1
"500","livia.2","D1",0,1,1
"501","livia.2","D2",0,1,1
"502","livia.2","D4",0,1,1
"503","livia.2","D5",0,1,1
"504","livia.2","D7",0,1,1
"505","lorena","A1",0,1,1
"506","lorena","A2",1,1,1
"507","lorena","A3",0,1,1
"508","lorena","A4",0,1,1
"509","lorena","B1",0,1,1
"510","lorena","B7",1,1,1
"511","lorena","D1",1,1,1
"512","lorena","D4",0,0,0
"513","lorena","D7",0,1,1
"514","lucas","A3",0,0,0
"515","lucas","A4",0,0,0
"516","lucas","B1",0,0,0
"517","lucas","B2",1,0,0
"518","lucas","B5",0,0,0
"519","lucas","B6",0,0,0
"520","lucas","B7",1,0,0
"521","lucas","D1",0,0,0
"522","lucas","D2",0,0,0
"523","lucas","D4",0,0,0
"524","lucas","D5",0,0,0
"525","lucas","D7",0,0,0
"526","lucas.2","A2",0,0,0
"527","lucas.2","A3",0,1,1
"528","lucas.2","A6",0,0,0
"529","lucas.2","B1",0,1,1
"530","lucas.2","B2",1,0,0
"531","lucas.2","B5",0,0,0
"532","lucas.2","B6",0,0,0
"533","lucas.2","B7",0,0,0
"534","lucas.2","D1",0,1,1
"535","lucas.2","D2",0,1,1
"536","lucas.2","D4",1,1,1
"537","lui","A1",0,1,1
"538","lui","A2",1,1,1
"539","lui","A3",0,1,1
"540","lui","A4",1,1,1
"541","lui","A6",1,1,1
"542","lui","B1",0,1,1
"543","lui","B2",1,1,1
"544","lui","B5",1,1,1
"545","lui","B7",0,1,1
"546","lui","D1",1,1,1
"547","lui","D2",1,1,1
"548","lui","D4",0,1,1
"549","lui","D5",1,1,1
"550","lui","D7",0,1,1
"551","luiso","A2",0,0,0
"552","luiso","A3",0,0,0
"553","luiso","A4",0,0,0
"554","luiso","A6",0,0,0
"555","luiso","B1",0,0,0
"556","luiso","B2",0,0,0
"557","luiso","B5",0,0,0
"558","luiso","B6",0,0,0
"559","luiso","D7",0,0,0
"560","manu.2","A1",0,1,1
"561","manu.2","A2",1,1,1
"562","manu.2","A3",0,1,1
"563","manu.2","A4",1,1,1
"564","manu.2","A6",1,0,0
"565","manu.2","B1",0,1,1
"566","manu.2","B2",1,1,1
"567","manu.2","B5",1,1,1
"568","manu.2","B6",0,1,1
"569","manu.2","B7",0,1,1
"570","manu.2","D1",1,1,1
"571","manu.2","D2",1,1,1
"572","manu.2","D4",0,1,1
"573","manu.2","D5",1,1,1
"574","manu.2","D7",0,1,1
"575","manuela","A1",0,0,0
"576","manuela","D7",0,0,0
"577","manuella","A1",0,1,1
"578","manuella","A2",0,1,1
"579","manuella","A3",0,1,1
"580","manuella","A4",0,1,1
"581","manuella","A6",0,1,1
"582","manuella","B1",0,1,1
"583","manuella","D1",0,0,0
"584","manuella","D5",0,0,0
"585","manuella","D7",0,1,1
"586","marcos","A1",0,1,1
"587","marcos","A2",0,1,1
"588","marcos","A3",0,1,1
"589","marcos","A4",0,1,1
"590","marcos","A6",0,1,1
"591","marcos","B1",0,1,1
"592","marcos","B5",0,0,0
"593","marcos","B6",0,1,1
"594","marcos","B7",0,1,1
"595","marcos","D1",0,1,1
"596","marcos","D2",1,1,1
"597","marcos","D4",0,1,1
"598","marcos","D5",1,1,1
"599","marcos","D7",0,1,1
"600","marialu","A2",1,1,1
"601","marialu","A3",0,1,1
"602","marialu","A4",0,1,1
"603","marialu","A6",1,0,0
"604","marialu","B1",0,1,1
"605","marialu","B7",1,1,1
"606","marialu","D1",0,1,1
"607","marialu","D2",1,0,0
"608","marialu","D7",0,1,1
"609","maril.2","A1",0,1,1
"610","maril.2","A2",1,1,1
"611","maril.2","A3",0,1,1
"612","maril.2","A4",1,1,1
