"","crianca","video","frente_fundo","fundo_frente","fundo_errado","errado_fundo","frente_errado","errado_frente","olhou_pro_errado","acerto_frente","indice_alternancia_rja","indice_alternancia_ija","indice_alternancia_objeto","total_acerto_frente","total_olhou_errado","fixation_acerto_frente","fixation_olhou_pro_errado","indice_acerto","condicao","pre_pos"
"90","ayla.2","B5",1,1,0,0,0,0,0,1,1,1,0,454,0,454,0,1,"ija","1"
"91","ayla.2","B6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","1"
"92","ayla.2","B7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","1"
"93","ayla.2","D1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","1"
"94","ayla.2","D4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","1"
"95","ayla.2","D5",0,1,0,0,0,0,0,1,1,0,0,108,0,108,0,1,"ija","1"
"96","bernardo","B6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","-"
"97","bernardo","B7",0,0,0,1,0,0,1,0,0,-1,0,0,0,0,0,-1,"rja","-"
"98","bernardo","D2",1,0,0,0,0,0,0,1,0,1,0,298,0,266,0,1,"ija","-"
"99","cecilia","A1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","-"
"100","cecilia","A2",0,1,0,0,0,0,0,1,1,0,0,1296,0,566,0,1,"ija","-"
"101","cecilia","A4",0,1,0,0,0,0,0,1,1,0,0,622,0,322,0,1,"rja","-"
"102","cecilia","A6",0,1,0,1,0,0,1,1,1,-1,0,434,0,434,0,0,"ija","-"
"103","cecilia","B2",0,0,0,1,0,0,1,0,0,-1,0,0,0,0,0,-1,"ija","-"
"104","cecilia","B5",0,1,0,0,0,0,0,1,1,0,0,632,0,142,0,1,"ija","-"
"105","cecilia","B6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","-"
"106","cecilia","B7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","-"
"107","cecilia","D1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","-"
"108","cecilia","D2",0,0,0,0,0,0,0,1,0,0,0,898,0,898,0,1,"ija","-"
"109","cecilia","D4",0,0,0,0,0,0,0,1,0,0,0,418,0,418,0,1,"rja","-"
"110","cecilia","D5",0,1,0,0,0,0,0,1,1,0,0,344,0,344,0,1,"ija","-"
"111","clari.2","A1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","1"
"112","clari.2","A2",0,1,0,0,0,0,0,1,1,0,0,874,0,522,0,1,"ija","1"
"113","clari.2","A4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","1"
"114","clari.2","A6",1,0,1,0,0,0,1,1,-1,1,0,0,728,0,728,0,"ija","1"
"115","clari.2","B2",0,0,1,0,0,1,1,1,-1,0,-1,770,340,770,340,0,"ija","1"
"116","clari.2","B5",0,1,0,0,0,0,0,1,1,0,0,1050,0,1050,0,1,"ija","1"
"117","clari.2","B6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","1"
"118","clari.2","B7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","1"
"119","clari.2","D1",0,0,0,1,0,0,1,0,0,-1,0,0,0,0,0,-1,"rja","1"
"120","clari.2","D2",0,1,0,0,0,0,0,1,1,0,0,1194,0,1194,0,1,"ija","1"
"121","clari.2","D4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","1"
"122","clari.2","D5",0,1,0,0,0,0,0,1,1,0,0,520,0,520,0,1,"ija","1"
"123","clarice","A1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","0"
"124","clarice","A2",0,1,0,0,1,0,1,1,1,0,1,1104,278,784,278,0,"ija","0"
"125","clarice","A4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","0"
"126","clarice","B2",0,1,0,0,0,0,0,1,1,0,0,82,0,82,0,1,"ija","0"
"127","clarice","B5",1,1,0,0,0,0,0,1,1,1,0,878,0,878,0,1,"ija","0"
"128","clarice","B6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","0"
"129","clarice","B7",0,0,0,0,0,0,1,0,0,0,0,0,216,0,216,-1,"rja","0"
"130","clarice","D1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","0"
"131","clarice","D2",0,0,0,0,0,0,0,1,0,0,0,408,0,408,0,1,"ija","0"
"132","clarice","D4",0,0,1,0,0,0,1,0,-1,0,0,0,386,0,386,-1,"rja","0"
"133","clarice","D5",0,1,0,0,0,0,0,1,1,0,0,454,0,454,0,1,"ija","0"
"134","diana","A1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","-"
"135","diana","A4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","-"
