"","video_clip","RECORDING_SESSION_LABEL","TRIAL_INDEX","CURRENT_FIX_DURATION","CURRENT_FIX_INDEX","CURRENT_FIX_INTEREST_AREAS","CURRENT_FIX_START","TRIAL_FIXATION_TOTAL","TRIAL_LABEL","VIDEO_NAME_END","VIDEO_NAME_START","ROIfundo","ROIfrente","anchor_time","correction_time","CRUZ_START.x","CRUZ_END.x","parte_trial","CRUZ_START.y","CRUZ_END.y","trial","Estímulo(referencia esq/dir - olhando para tela)","Roi cabeça(fundo)","ROI alvo (frente)","ROI Nalvo (frente)","acerto_fundo","acerto_frente","olhou_pro_errado"
"60","A1","anne",11,134,16,"[ 4]",4970,21,"Trial: 11","A1.avi","A1.avi",4,NA,3664,1306,"3750","4250","pre_cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"FALSE","FALSE","FALSE"
"61","A1","anne",11,680,17,"[ 4]",5144,21,"Trial: 11","A1.avi","A1.avi",3,NA,3838,1306,"3750","4250","cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"TRUE","FALSE","FALSE"
"62","A1","anne",11,344,18,"[ 4]",5850,21,"Trial: 11","A1.avi","A1.avi",4,NA,4544,1306,"3750","4250","pos_cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"FALSE","FALSE","FALSE"
"63","A1","anne",11,1074,19,"[ 4]",6210,21,"Trial: 11","A1.avi","A1.avi",3,NA,4904,1306,"3750","4250","pos_cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"TRUE","FALSE","FALSE"
"64","A1","anne",11,70,20,"[ 3]",7386,21,"Trial: 11","A1.avi","A1.avi",3,NA,6080,1306,"3750","4250","pos_cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"TRUE","FALSE","FALSE"
"65","A1","anne",11,196,21,"[ 3]",7482,21,"Trial: 11","A1.avi","A1.avi",3,NA,6176,1306,"3750","4250","pos_cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"TRUE","FALSE","FALSE"
"66","A1","arthur",11,11145,1,"[ 4]",0,1,"Trial: 11","A1.avi",".",4,NA,0,0,"3750","4250","pre_cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"FALSE","FALSE","FALSE"
"67","A1","asafe.2",11,690,1,"[ 3]",566,12,"Trial: 11","A1.avi","EstrelinhasR640x680.avi",3,NA,0,566,"3750","4250","pre_cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"TRUE","FALSE","FALSE"
"68","A1","asafe.2",11,286,2,"[ 3]",1278,12,"Trial: 11","A1.avi","A1.avi",3,NA,712,566,"3750","4250","pre_cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"TRUE","FALSE","FALSE"
"69","A1","asafe.2",11,400,3,"[ 3]",1584,12,"Trial: 11","A1.avi","A1.avi",3,NA,1018,566,"3750","4250","pre_cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"TRUE","FALSE","FALSE"
