"","trial","time","parte","video","roi_frente_empirico","roi_fundo_empirico","roi_alvo_fundo","roi_alvo_frente","roi_nao_alvo","acerto_frente","acerto_fundo","olhou_pro_errado"
"96",11,-4238,"pre_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"97",11,-4048,"pre_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"98",11,-3882,"pre_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"99",11,0,"pre_cruz","A1",7,4,3,8,7,"FALSE","FALSE","TRUE"
"100",11,232,"pre_cruz","A1",7,4,3,8,7,"FALSE","FALSE","TRUE"
"101",11,676,"pre_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"102",11,736,"pre_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"103",11,984,"pre_cruz","A1",7,4,3,8,7,"FALSE","FALSE","TRUE"
"104",11,1358,"pre_cruz","A1",7,4,3,8,7,"FALSE","FALSE","TRUE"
"105",11,-452,"pre_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"106",11,-188,"pre_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"107",11,0,"pre_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"108",11,644,"pre_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"109",11,2208,"pre_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"110",11,4368,"pos_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"111",11,5696,"pos_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"112",11,0,"pre_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"113",11,416,"pre_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"114",11,668,"pre_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"115",11,1038,"pre_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"116",11,1554,"pre_cruz","A1",8,6,3,8,7,"TRUE","FALSE","FALSE"
"117",11,2068,"pre_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"118",11,2382,"pre_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"119",11,4418,"pos_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"120",11,4936,"pos_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"121",11,-248,"pre_cruz","A1",NA,NA,3,8,7,"FALSE","FALSE","FALSE"
"122",11,0,"pre_cruz","A1",NA,5,3,8,7,"FALSE","FALSE","FALSE"
"123",11,398,"pre_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"124",11,748,"pre_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"125",11,1104,"pre_cruz","A1",7,4,3,8,7,"FALSE","FALSE","TRUE"
"126",11,1410,"pre_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"127",11,3558,"pre_cruz","A1",NA,NA,3,8,7,"FALSE","FALSE","FALSE"
"128",11,3918,"cruz","A1",NA,NA,3,8,7,"FALSE","FALSE","FALSE"
"129",11,4718,"pos_cruz","A1",NA,5,3,8,7,"FALSE","FALSE","FALSE"
"130",11,5006,"pos_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"131",11,-2180,"pre_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"132",11,-1948,"pre_cruz","A1",NA,5,3,8,7,"FALSE","FALSE","FALSE"
"133",11,-1766,"pre_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"134",11,-1652,"pre_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"135",11,-1096,"pre_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"136",11,-758,"pre_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"137",11,-524,"pre_cruz","A1",NA,3,3,8,7,"FALSE","TRUE","FALSE"
"138",11,-250,"pre_cruz","A1",8,4,3,8,7,"TRUE","FALSE","FALSE"
